ACTN2,LDB3
ACTN2,VCL
ACTN2,ACTN4
ACTN2,MYOZ1
ACTN2,ACTN1
ACTN2,MYH6
ACTN2,MYH3
ACTN2,ACTB
ACTN2,TPM1
CCT4,CCT7
CCT4,CCT6A
CCT4,CCT5
CCT4,CCT8
CCT4,CCT3
CCT4,CCT2
CCT4,TCP1
CCT4,BBS10
CCT4,CCT6B
CCT4,PPP2CA
MAST3,MAST4
MAST3,MAGI3
MAST3,PTEN
MAST3,ARPP19
MAST3,FAM19A3
MAST3,NAIF1
MAST3,CCDC94
MAST3,RFX2
MAST3,GALNS
MAST3,ENSA
CUGBP2,CEBPD
CUGBP2,APOBEC1
CUGBP2,MBNL1
CUGBP2,PTBP1
CUGBP2,MBNL2
CUGBP2,RBFOX2
CUGBP2,FAM150B
CUGBP2,RRM1
CUGBP2,PKIA
CUGBP2,ELAVL1
SF3B4,SF3A1
SF3B4,PHF5A
SF3B4,SF3A2
SF3B4,SNRPB2
SF3B4,SNRPA1
SF3B4,PRPF6
SF3B4,SF3B3
SF3B4,SART1
SF3B4,SF3B2
SF3B4,SF3B1
CADM1,EPB41L3
CADM1,CRTAM
CADM1,ERBB3
CADM1,CASK
CADM1,MPP3
CADM1,PTPN13
CADM1,MPP6
CADM1,RAC1
CADM1,SDCBP
CADM1,PVRL3
PTX3,FGF2
PTX3,FCN1
PTX3,CFH
PTX3,FCN2
PTX3,TNFAIP6
PTX3,SELP
PTX3,MBL2
PTX3,C1QA
PTX3,CFHR1
PTX3,C3
LRPAP1,LRP2
LRPAP1,LRP1
LRPAP1,VLDLR
LRPAP1,RALGDS
LRPAP1,LRP8
LRPAP1,MYCBP2
LRPAP1,RAPGEF3
LRPAP1,RAPGEF1
LRPAP1,SORL1
LRPAP1,RELN
DDX24,DDX18
DDX24,NOP2
DDX24,NIFK
DDX24,EBNA1BP2
DDX24,DDX27
DDX24,NOC3L
DDX24,BRIX1
DDX24,DDX56
DDX24,KIAA0020
DDX24,RBM28
VPS29,SNX1
VPS29,VPS26B
VPS29,VPS35
VPS29,VPS26A
VPS29,SNX2
VPS29,TBC1D5
VPS29,SNX5
VPS29,SNX6
VPS29,SNX3
VPS29,C16orf62
MRGPRX2,CORT
MRGPRX2,NPFF
MRGPRX2,AP1B1
MRGPRX2,CAMP
MRGPRX2,MORF4L2
MRGPRX2,TAC1
MRGPRX2,GPR139
MRGPRX2,GHSR
MRGPRX2,MGEA5
MRGPRX2,TACR1
PHAX,SRRT
PHAX,NCBP2
PHAX,XPO1
PHAX,NCBP1
PHAX,RAE1
PHAX,NUP214
PHAX,NUP88
PHAX,RANBP2
PHAX,NUP50
PHAX,NUPL2
PGGT1B,FNTA
PGGT1B,RABGGTA
PGGT1B,RCE1
PGGT1B,ICMT
PGGT1B,CDC42
PGGT1B,TRIM36
PGGT1B,ZMPSTE24
PGGT1B,MTAP
PGGT1B,RHOB
PGGT1B,RHOA
CNOT8,CNOT2
CNOT8,CNOT1
CNOT8,CNOT6
CNOT8,CNOT6L
CNOT8,RQCD1
CNOT8,CNOT3
CNOT8,CNOT4
CNOT8,CNOT11
CNOT8,CNOT10
CNOT8,TOB1
ABCD2,SLC25A17
ABCD2,PEX13
ABCD2,PEX11B
ABCD2,PXMP4
ABCD2,PEX12
ABCD2,PEX16
ABCD2,PEX19
ABCD2,ATAD1
ABCD2,PEX14
ABCD2,PEX26
TTC19,CHMP4B
TTC19,ZFYVE26
TTC19,BCS1L
TTC19,UQCRFS1
TTC19,LYRM7
TTC19,UQCC1
TTC19,SPPL3
TTC19,UQCC3
TTC19,UQCRC2
TTC19,FERMT1
DPM3,DPM2
DPM3,DPM1
DPM3,DOLK
DPM3,POMT2
DPM3,POMT1
DPM3,DPAGT1
DPM3,DOLPP1
DPM3,ALG1
DPM3,ALG5
DPM3,ALG3
PRDX4,ERP44
PRDX4,TXNDC5
PRDX4,RAB28
PRDX4,PDIA6
PRDX4,TXN
PRDX4,P4HB
PRDX4,ENSP00000442453
PRDX4,PRDX5
PRDX4,CSF3R
PRDX4,SRXN1
AFF4,MLLT1
AFF4,CCNT1
AFF4,CDK9
AFF4,MLLT3
AFF4,ELL2
AFF4,ELL
AFF4,EAF1
AFF4,CCNT2
AFF4,EAF2
AFF4,ELL3
PKIG,ADA
PKIG,RTFDC1
PKIG,CSTF1
PKIG,DOK5
PKIG,RAB22A
PKIG,ATP9A
PKIG,PKIA
PKIG,PKIB
PKIG,UCK1
PKIG,PPP1R3D
ILKAP,ILK
ILKAP,CHEK2
ILKAP,FAM131A
ILKAP,MAPK3
ILKAP,GSK3B
ILKAP,MAPK1
ILKAP,MAP2K7
ILKAP,RPS6KA3
ILKAP,PPTC7
ILKAP,PPP4C
CUX1,CCDC6
CUX1,RAB28
CUX1,HDAC1
CUX1,GOLGA5
CUX1,STAT5A
CUX1,STAT5B
CUX1,RAB33B
CUX1,KIF5B
CUX1,NCOA4
CUX1,TBR1
CCBP2,CCL27
CCBP2,CCL19
CCBP2,CCL21
CCBP2,CCL25
CCBP2,CCL8
CCBP2,CCL13
CCBP2,CCL1
CCBP2,CCR7
CCBP2,CCR9
CCBP2,ACKR1
TOMM7,TOMM22
TOMM7,TOMM6
TOMM7,TOMM40
TOMM7,TOMM20
TOMM7,TOMM5
TOMM7,TOMM70A
TOMM7,TIMM22
TOMM7,PINK1
TOMM7,HSPA9
TOMM7,SAMM50
SPG21,ALDH16A1
SPG21,RAB7A
SPG21,NIPA1
SPG21,SPG7
SPG21,SPG11
SPG21,FA2H
SPG21,ZFYVE26
SPG21,SPAST
SPG21,SPG20
SPG21,PNPLA6
HM13,SSR3
HM13,RNF139
HM13,LMAN1
HM13,SSR4
HM13,DERL1
HM13,TRAM1
HM13,SEC61B
HM13,STT3B
HM13,TMED10
HM13,SSR2
ATP6V1G2,ATP6V1E1
ATP6V1G2,ATP6V1C2
ATP6V1G2,ATP6V1A
ATP6V1G2,ATP6V1B1
ATP6V1G2,ATP6V1B2
ATP6V1G2,ATP6V1F
ATP6V1G2,ATP6V0C
ATP6V1G2,ATP6V1D
ATP6V1G2,ATP6V0A1
ATP6V1G2,ATP6V1E2
FBXW11,SKP1
FBXW11,CUL1
FBXW11,CTNNB1
FBXW11,BTRC
FBXW11,RBX1
FBXW11,GLI3
FBXW11,UBA3
FBXW11,NFKBIA
FBXW11,SKP2
FBXW11,FBXO5
SLC27A5,BAAT
SLC27A5,SCP2
SLC27A5,CYP27A1
SLC27A5,AMACR
SLC27A5,ACOT8
SLC27A5,ZNF177
SLC27A5,FABP1
SLC27A5,ACSBG2
SLC27A5,ACSL1
SLC27A5,ZNF584
SERPING1,C1S
SERPING1,C1R
SERPING1,KLK4
SERPING1,KLKB1
SERPING1,F12
SERPING1,MASP2
SERPING1,C1QB
SERPING1,C1QA
SERPING1,MASP1
SERPING1,C1QC
ALDH5A1,ABAT
ALDH5A1,MDH2
ALDH5A1,CS
ALDH5A1,OGDH
ALDH5A1,PC
ALDH5A1,ACLY
ALDH5A1,MDH1
ALDH5A1,IDH3A
ALDH5A1,IDH2
ALDH5A1,IDH3B
VPS33A,VPS18
VPS33A,VPS41
VPS33A,VPS39
VPS33A,VPS16
VPS33A,VPS11
